code,stock_ch,stock_en
00968,信義光能,XINYI SOLAR
01038,長江基建集團,CKI HOLDINGS
01044,恆安國際,HENGAN INT'L
01093,石藥集團,CSPC PHARMA
01109,華潤置地,CHINA RES LAND
01113,長實集團,CK ASSET
01177,中國生物製藥,SINO BIOPHARM
01211,比亞迪股份,BYD COMPANY
01299,友邦保險,AIA
01398,工商銀行,ICBC
01810,小米集團－Ｗ,XIAOMI-W
01876,百威亞太,BUD APAC
01928,金沙中國有限公司,SANDS CHINA LTD
01997,九龍倉置業,WHARF REIC
02007,碧桂園,COUNTRY GARDEN
02018,瑞聲科技,AAC TECH
02020,安踏體育,ANTA SPORTS
02269,藥明生物,WUXI BIO
02313,申洲國際,SHENZHOU INTL
02318,中國平安,PING AN
02319,蒙牛乳業,MENGNIU DAIRY
02331,李寧,LI NING
02382,舜宇光學科技,SUNNY OPTICAL
02388,中銀香港,BOC HONG KONG
02628,中國人壽,CHINA LIFE
02688,新奧能源,ENN ENERGY
03690,美團－Ｗ,MEITUAN-W
03968,招商銀行,CM BANK
03988,中國銀行,BANK OF CHINA
06098,碧桂園服務,CG SERVICES
06862,海底撈,HAIDILAO
09618,京東集團－ＳＷ,JD-SW
09988,阿里巴巴－ＳＷ,BABA-SW
09999,網易－Ｓ,NTES-S
00001,長和,CKH HOLDINGS
00002,中電控股,CLP HOLDINGS
00003,香港中華煤氣,HK & CHINA GAS
00005,匯豐控股,HSBC HOLDINGS
00006,電能實業,POWER ASSETS
00011,恆生銀行,HANG SENG BANK
00012,恆基地產,HENDERSON LAND
00016,新鴻基地產,SHK PPT
00017,新世界發展,NEW WORLD DEV
00027,銀河娛樂,GALAXY ENT
00066,港鐵公司,MTR CORPORATION
00101,恆隆地產,HANG LUNG PPT
00175,吉利汽車,GEELY AUTO
00241,阿里健康,ALI HEALTH
00267,中信股份,CITIC
00288,萬洲國際,WH GROUP
00291,華潤啤酒,CHINA RES BEER
00386,中國石油化工股份,SINOPEC CORP
00388,香港交易所,HKEX
00669,創科實業,TECHTRONIC IND
00688,中國海外發展,CHINA OVERSEAS
00700,騰訊控股,TENCENT
00762,中國聯通,CHINA UNICOM
00823,領展房產基金,LINK REIT
00857,中國石油股份,PETROCHINA
00868,信義玻璃,XINYI GLASS
00883,中國海洋石油,CNOOC
00939,建設銀行,CCB
00941,中國移動,CHINA MOBILE
00960,龍湖集團,LONGFOR GROUP
